Symbol,NSE_Ticker,Company Name,Industry,ISIN Code
360ONE,360ONE.NS,360 ONE WAM Ltd.,Financial Services,INE466L01038
3MINDIA,3MINDIA.NS,3M India Ltd.,Diversified,INE470A01017
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010
AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,Chemicals,INE769A01020
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,Financial Services,INE216P01012
ABB,ABB.NS,ABB India Ltd.,Capital Goods,INE117A01022
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,INE358A01014
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,INE674K01013
ABDL,ABDL.NS,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,INE552Z01027
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,INE647O01011
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,INE14LE01019
ABREL,ABREL.NS,Aditya Birla Real Estate Ltd.,Realty,INE055A01016
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,INE404A01024
ACC,ACC.NS,ACC Ltd.,Construction Materials,INE012A01025
ACE,ACE.NS,Action Construction Equipment Ltd.,Capital Goods,INE731H01025
ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,INE622W01025
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare,INE00FF01025
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,INE931S01010
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,INE423A01024
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,INE364U01010
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,INE814H01029
AEGISLOG,AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,INE208C01025
AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,INE0INX01018
AFCONS,AFCONS.NS,Afcons Infrastructure Ltd.,Construction,INE101I01011
AFFLE,AFFLE.NS,Affle 3i Ltd.,Information Technology,INE00WC01027
AIAENG,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,INE212H01026
AIIL,AIIL.NS,Authum Investment & Infrastructure Ltd.,Financial Services,INE206F01022
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049
ALKEM,ALKEM.NS,Alkem Laboratories Ltd.,Healthcare,INE540L01014
AMBER,AMBER.NS,Amber Enterprises India Ltd.,Consumer Durables,INE371P01015
AMBUJACEM,AMBUJACEM.NS,Ambuja Cements Ltd.,Construction Materials,INE079A01024
ANANDRATHI,ANANDRATHI.NS,Anand Rathi Wealth Ltd.,Financial Services,INE463V01026
ANANTRAJ,ANANTRAJ.NS,Anant Raj Ltd.,Realty,INE242C01024
ANGELONE,ANGELONE.NS,Angel One Ltd.,Financial Services,INE732I01021
ANTHEM,ANTHEM.NS,Anthem Biosciences Ltd.,Healthcare,INE0CZ201020
ANURAS,ANURAS.NS,Anupam Rasayan India Ltd.,Chemicals,INE930P01018
APARINDS,APARINDS.NS,Apar Industries Ltd.,Capital Goods,INE372A01015
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027
APOLLOHOSP,APOLLOHOSP.NS,Apollo Hospitals Enterprise Ltd.,Healthcare,INE437A01024
APOLLOTYRE,APOLLOTYRE.NS,Apollo Tyres Ltd.,Automobile and Auto Components,INE438A01022
APTUS,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,INE852O01025
ARE&M,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,INE885A01032
ASAHIINDIA,ASAHIINDIA.NS,Asahi India Glass Ltd.,Automobile and Auto Components,INE439A01020
ASHOKLEY,ASHOKLEY.NS,Ashok Leyland Ltd.,Capital Goods,INE208A01029
ASIANPAINT,ASIANPAINT.NS,Asian Paints Ltd.,Consumer Durables,INE021A01026
ASTERDM,ASTERDM.NS,Aster DM Healthcare Ltd.,Healthcare,INE914M01019
ASTRAL,ASTRAL.NS,Astral Ltd.,Capital Goods,INE006I01046
ATGL,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023
ATHERENERG,ATHERENERG.NS,Ather Energy Ltd.,Automobile and Auto Components,INE0LEZ01016
ATUL,ATUL.NS,Atul Ltd.,Chemicals,INE100A01010
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,INE949L01017
AUROPHARMA,AUROPHARMA.NS,Aurobindo Pharma Ltd.,Healthcare,INE406A01037
AWL,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024
AXISBANK,AXISBANK.NS,Axis Bank Ltd.,Financial Services,INE238A01034
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Automobile and Auto Components,INE917I01010
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,INE918I01026
BAJAJHFL,BAJAJHFL.NS,Bajaj Housing Finance Ltd.,Financial Services,INE377Y01014
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,INE296A01032
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026
BALRAMCHIN,BALRAMCHIN.NS,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,INE119A01028
BANDHANBNK,BANDHANBNK.NS,Bandhan Bank Ltd.,Financial Services,INE545U01014
BANKBARODA,BANKBARODA.NS,Bank of Baroda,Financial Services,INE028A01039
BANKINDIA,BANKINDIA.NS,Bank of India,Financial Services,INE084A01016
BATAINDIA,BATAINDIA.NS,Bata India Ltd.,Consumer Durables,INE176A01028
BAYERCROP,BAYERCROP.NS,Bayer Cropscience Ltd.,Chemicals,INE462A01022
BBTC,BBTC.NS,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,INE050A01025
BDL,BDL.NS,Bharat Dynamics Ltd.,Capital Goods,INE171Z01026
BEL,BEL.NS,Bharat Electronics Ltd.,Capital Goods,INE263A01024
BELRISE,BELRISE.NS,Belrise Industries Ltd.,Automobile and Auto Components,INE894V01022
BEML,BEML.NS,BEML Ltd.,Capital Goods,INE258A01024
BERGEPAINT,BERGEPAINT.NS,Berger Paints India Ltd.,Consumer Durables,INE463A01038
BHARATFORG,BHARATFORG.NS,Bharat Forge Ltd.,Automobile and Auto Components,INE465A01025
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Ltd.,Telecommunication,INE397D01024
BHARTIHEXA,BHARTIHEXA.NS,Bharti Hexacom Ltd.,Telecommunication,INE343G01021
BHEL,BHEL.NS,Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026
BIKAJI,BIKAJI.NS,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,INE00E101023
BIOCON,BIOCON.NS,Biocon Ltd.,Healthcare,INE376G01013
BLS,BLS.NS,BLS International Services Ltd.,Consumer Services,INE153T01027
BLUEDART,BLUEDART.NS,Blue Dart Express Ltd.,Services,INE233B01017
BLUEJET,BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,INE0KBH01020
BLUESTARCO,BLUESTARCO.NS,Blue Star Ltd.,Consumer Durables,INE472A01039
BOSCHLTD,BOSCHLTD.NS,Bosch Ltd.,Automobile and Auto Components,INE323A01026
BPCL,BPCL.NS,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011
BRIGADE,BRIGADE.NS,Brigade Enterprises Ltd.,Realty,INE791I01019
BRITANNIA,BRITANNIA.NS,Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030
BSE,BSE.NS,BSE Ltd.,Financial Services,INE118H01025
BSOFT,BSOFT.NS,Birlasoft Ltd.,Information Technology,INE836A01035
CAMS,CAMS.NS,Computer Age Management Services Ltd.,Financial Services,INE596I01020
CANBK,CANBK.NS,Canara Bank,Financial Services,INE476A01022
CANFINHOME,CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,INE477A01020
CANHLIFE,CANHLIFE.NS,Canara HSBC Life Insurance Company Ltd.,Financial Services,INE01TY01017
CAPLIPOINT,CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,INE475E01026
CARBORUNIV,CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,INE120A01034
CARTRADE,CARTRADE.NS,Cartrade Tech Ltd.,Consumer Services,INE290S01011
CASTROLIND,CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels,INE172A01027
CCL,CCL.NS,CCL Products (I) Ltd.,Fast Moving Consumer Goods,INE421D01022
CDSL,CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,INE736A01011
CEATLTD,CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,INE482A01020
CEMPRO,CEMPRO.NS,Cemindia Projects Ltd.,Construction,INE686A01026
CENTRALBK,CENTRALBK.NS,Central Bank of India,Financial Services,INE483A01010
CESC,CESC.NS,CESC Ltd.,Power,INE486A01021
CGCL,CGCL.NS,Capri Global Capital Ltd.,Financial Services,INE180C01042
CGPOWER,CGPOWER.NS,CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029
CHALET,CHALET.NS,Chalet Hotels Ltd.,Consumer Services,INE427F01016
